Mês Movimento;Cd Filial;Nm Filial;Cd Item;Nm Item;Cd Local Estoque;Ds Local Estoque;Qt Movimento;Vl Movimento;soma quantidade movimento
julho;704;ROLANDIA - AB. AVES;243918;"PLACA PCR;96 POÇOS;BIO RAD/M";19;MATERIAIS DE LABORATÓRIO;-3;-4323,798701;-3
julho;704;ROLANDIA - AB. AVES;244430;FITA SINALIZACAO ZEBRADA MAT;14;MATERIAIS ADMINISTRATIVOS;-2;-28,37198068;-2
julho;704;ROLANDIA - AB. AVES;244430;FITA SINALIZACAO ZEBRADA MAT;617;ESTOQUE ALMOXARIFADO;-3;-41,83333332;-3
julho;704;ROLANDIA - AB. AVES;246603;VASSOURA MATERIAL PIACAVA CA;12;MATERIAIS DE LIMPEZA;-2;-147,11352;-2
julho;704;ROLANDIA - AB. AVES;247103;LIXA DISCO FLAP CONICO GRANA;602;MANUTENÇÃO;-26;-226,8903291;-26
julho;704;ROLANDIA - AB. AVES;247242;"CARTAO;MAREL/4265518";299;ITENS CRITICOS;-1;-2605;-1
julho;704;ROLANDIA - AB. AVES;247758;"PLACA PETRIFILM;CX C/500UN;N";19;MATERIAIS DE LABORATÓRIO;-1;-3152,87;-1
julho;704;ROLANDIA - AB. AVES;249131;"CAMISETA;UNISSEX;67PCT POLIE";11;UNIFORMES E EPI'S;-20;-385;-20
julho;704;ROLANDIA - AB. AVES;251432;"ROLAMENTO;JBT MAREL/3426270";299;ITENS CRITICOS;-2;-236,06;-2
julho;704;ROLANDIA - AB. AVES;252793;"CREME LEITE;CAIXA 1KG";17;REFEITORIO;-120;-1240,351548;-120
julho;704;ROLANDIA - AB. AVES;252891;PARAFUSO CABECA CILINDRICA P;5;MANUTENÇÃO MECANICA;-20;-1,7384616;-20
julho;704;ROLANDIA - AB. AVES;253774;CORREIA TRANSM V N SECAO UNI;5;MANUTENÇÃO MECANICA;-2;-91,08222222;-2
julho;704;ROLANDIA - AB. AVES;254202;"PLACA;TOLEDO/6214700";619;MANUTENÇÃO ELÉTRICA;-1;-1799,751667;-1
julho;704;ROLANDIA - AB. AVES;254360;"CHAVE DE SEGURANCA;2NC/1NO;I";7;MANUTENÇÃO ELETRICA;-3;-6159,6;-3
julho;704;ROLANDIA - AB. AVES;254845;"LUVA SEGURANCA;NITRILA;COR V";11;UNIFORMES E EPI'S;-720;-3022,390627;-720
julho;704;ROLANDIA - AB. AVES;254956;"DISCO;HANDTMANN/71100225040";618;ESTOQUE SALSICHA;-2;-2862,106319;-2
julho;704;ROLANDIA - AB. AVES;256757;FIRST STAGE BATTER  04540-02;101;LINHA DE PRODUCAO ALIMENTOS PREPARADOS;-620;-3923,095948;-620
julho;704;ROLANDIA - AB. AVES;257270;"ESTEIRA MODULAR FLEXIVEL;456";602;MANUTENÇÃO;-7;-3064,131;-7
julho;704;ROLANDIA - AB. AVES;258091;MISTURA P/EMPANADOS BATTER;101;LINHA DE PRODUCAO ALIMENTOS PREPARADOS;-5348,01;-32554,97226;-5348,01
julho;704;ROLANDIA - AB. AVES;258540;"BOTAO COMANDO;COGUMELO;VERM;";619;MANUTENÇÃO ELÉTRICA;-5;-1381,16266;-5
julho;704;ROLANDIA - AB. AVES;258648;"CALÇA;UNISSEX;C/CORDAO;67PCT";11;UNIFORMES E EPI'S;-150;-10026;-150
julho;704;ROLANDIA - AB. AVES;259002;"PANO LIMPEZA;MULTIUSO;VISCOS";607;HIGIENE E LIMPEZA;-3;-400,285;-3
julho;704;ROLANDIA - AB. AVES;260479;TERMINAL GARFO BS 41;7;MANUTENÇÃO ELETRICA;-56;-43,2096;-56
